Frame,ID,Altitude_m,GroundDist_m,Person_Lat,Person_Lon,Drone_Lat,Drone_Lon
2677,28.750391_77.113348,6.87,2.25,28.75039142228067,77.11334831283679,28.7503799,77.1133673
2707,28.750389_77.113345,6.91,1.65,28.750389298616305,77.11334507306508,28.7503812,77.1133592
2737,28.750389_77.113336,6.88,2.19,28.750389196270667,77.11333588096956,28.7503781,77.1133544
2767,28.750381_77.113330,6.87,1.5,28.75038089943462,77.1133295759179,28.7503736,77.1133425
2797,28.750378_77.113326,6.85,1.04,28.7503776291479,77.11332573226022,28.7503727,77.1133348
2798,28.750377_77.113326,6.85,1.01,28.750377476849142,77.11332601243146,28.7503727,77.1133348
2799,28.750377_77.113326,6.85,0.97,28.75037729127326,77.11332635381984,28.7503727,77.1133348
2800,28.750377_77.113326,6.84,0.93,28.7503773377226,77.1133257184116,28.7503729,77.1133338
2801,28.750377_77.113326,6.84,0.9,28.750377198990225,77.11332597105876,28.7503729,77.1133338
2802,28.750377_77.113326,6.84,0.87,28.750377045298322,77.11332625094887,28.7503729,77.1133338
2803,28.750377_77.113327,6.84,0.83,28.750376853719946,77.1133265998345,28.7503729,77.1133338
2806,28.750376_77.113327,6.84,0.73,28.750376400083404,77.11332742595728,28.7503729,77.1133338
2807,28.750376_77.113327,6.84,0.71,28.75037623863748,77.11332677418129,28.7503728,77.1133329
2808,28.750376_77.113327,6.84,0.69,28.750376159330703,77.11332691546369,28.7503728,77.1133329
2809,28.750376_77.113327,6.84,0.69,28.750376155253257,77.11332692272751,28.7503728,77.1133329
2810,28.750376_77.113327,6.84,0.69,28.750376131824112,77.11332696446576,28.7503728,77.1133329
2811,28.750376_77.113327,6.84,0.69,28.75037615341469,77.11332692600286,28.7503728,77.1133329
2812,28.750376_77.113327,6.84,0.7,28.750376169947344,77.11332689655049,28.7503728,77.1133329
2813,28.750376_77.113327,6.84,0.7,28.750376187953705,77.11332686447275,28.7503728,77.1133329
2814,28.750376_77.113327,6.84,0.71,28.750376223312607,77.11332680148205,28.7503728,77.1133329
2815,28.750376_77.113326,6.86,0.73,28.750376097012566,77.1133259063335,28.7503725,77.1133322
2816,28.750376_77.113326,6.86,0.76,28.75037621607711,77.11332569800713,28.7503725,77.1133322
2828,28.750376_77.113324,6.88,0.94,28.750376325602673,77.1133237374116,28.7503717,77.1133318
2829,28.750376_77.113324,6.88,0.95,28.750376382864943,77.11332363760145,28.7503717,77.1133318
2837,28.750375_77.113322,6.88,1.0,28.750374963750087,77.11332211150784,28.7503701,77.1133307
2844,28.750375_77.113323,6.88,0.92,28.750374598733433,77.11332275606041,28.7503701,77.1133307
2845,28.750374_77.113322,6.86,0.92,28.75037415894289,77.1133220717855,28.7503697,77.11333
2877,28.750372_77.113319,6.83,0.89,28.75037225060826,77.11331948777298,28.7503679,77.1133271
2881,28.750372_77.113320,6.83,0.82,28.750371924198017,77.11332005889057,28.7503679,77.1133271
2882,28.750372_77.113320,6.83,0.81,28.750371855243426,77.1133201795399,28.7503679,77.1133271
2887,28.750371_77.113319,6.83,0.81,28.75037115574941,77.11331932021783,28.7503672,77.1133263
2888,28.750371_77.113319,6.83,0.81,28.750371171608155,77.11331929223563,28.7503672,77.1133263
2889,28.750371_77.113319,6.83,0.81,28.750371172136916,77.11331929130264,28.7503672,77.1133263
2895,28.750371_77.113318,6.84,0.85,28.750370772842984,77.11331817927271,28.7503666,77.1133255
2896,28.750371_77.113318,6.84,0.87,28.750370842015418,77.11331805791839,28.7503666,77.1133255
2897,28.750370_77.113318,6.85,0.88,28.750370408426928,77.1133175356311,28.7503661,77.1133251
2899,28.750370_77.113317,6.85,0.89,28.750370468118764,77.11331743082926,28.7503661,77.1133251
2900,28.750370_77.113317,6.85,0.9,28.75037048916528,77.11331739387758,28.7503661,77.1133251
2906,28.750370_77.113317,6.86,0.89,28.750370330126817,77.11331725671636,28.750366,77.1133249
2909,28.750370_77.113317,6.86,0.89,28.750370331148954,77.11331725491213,28.750366,77.1133249
2911,28.750370_77.113317,6.86,0.91,28.75037042324429,77.1133170923509,28.750366,77.1133249
2912,28.750371_77.113317,6.87,0.93,28.750370598806843,77.11331706082893,28.7503661,77.1133251
2914,28.750371_77.113317,6.87,0.93,28.75037059795157,77.11331706235725,28.7503661,77.1133251
2915,28.750371_77.113317,6.87,0.93,28.750370607307776,77.11331704563813,28.7503661,77.1133251
2916,28.750371_77.113317,6.87,0.96,28.7503707521174,77.11331678686966,28.7503661,77.1133251
2917,28.750371_77.113317,6.87,0.94,28.75037063589339,77.11331699455688,28.7503661,77.1133251
2919,28.750371_77.113317,6.87,0.92,28.75037054724542,77.11331715296693,28.7503661,77.1133251
2924,28.750371_77.113318,6.87,0.87,28.750370705094284,77.11331776249524,28.7503665,77.1133253
2925,28.750371_77.113318,6.87,0.88,28.750370763998397,77.11331765691139,28.7503665,77.1133253
2926,28.750371_77.113318,6.87,0.88,28.750370725163425,77.1133177265219,28.7503665,77.1133253
2927,28.750371_77.113318,6.87,0.87,28.750370982812203,77.11331800821023,28.7503668,77.1133255
2934,28.750371_77.113318,6.87,0.84,28.750370866533945,77.11331821647497,28.7503668,77.1133255
2938,28.750371_77.113318,6.86,0.86,28.750371003986054,77.11331829245137,28.7503669,77.1133257
2939,28.750371_77.113318,6.86,0.86,28.75037102278995,77.11331825851101,28.7503669,77.1133257
2941,28.750371_77.113318,6.86,0.88,28.75037110415768,77.11331811164516,28.7503669,77.1133257
2943,28.750371_77.113318,6.85,0.9,28.75037135565552,77.11331801679972,28.7503671,77.1133258
2944,28.750371_77.113318,6.85,0.9,28.75037136970378,77.11331799110675,28.7503671,77.1133258
2945,28.750371_77.113318,6.85,0.9,28.7503713708965,77.11331798892539,28.7503671,77.1133258
2947,28.750371_77.113318,6.85,0.9,28.750371394511514,77.11331794573572,28.7503671,77.1133258
2948,28.750371_77.113318,6.85,0.9,28.750371376313147,77.11331797901883,28.7503671,77.1133258
2949,28.750371_77.113318,6.85,0.92,28.75037144980939,77.11331784460101,28.7503671,77.1133258
2950,28.750372_77.113318,6.83,0.92,28.75037151720732,77.11331785490054,28.7503672,77.1133259
2952,28.750372_77.113318,6.83,0.93,28.750371568072584,77.11331776011332,28.7503672,77.1133259
2954,28.750372_77.113318,6.83,0.95,28.75037167030163,77.11331756960989,28.7503672,77.1133259
2955,28.750372_77.113318,6.83,0.96,28.75037169929885,77.11331751557367,28.7503672,77.1133259
2957,28.750372_77.113317,6.82,0.98,28.750371843889063,77.11331735563728,28.7503673,77.1133259
2958,28.750372_77.113317,6.82,0.97,28.750371824286603,77.11331739249789,28.7503673,77.1133259
2959,28.750372_77.113317,6.82,0.97,28.750371797579078,77.11331744271892,28.7503673,77.1133259
2960,28.750372_77.113317,6.82,0.96,28.75037179578181,77.11331744609852,28.7503673,77.1133259
2961,28.750372_77.113317,6.82,0.96,28.750371781162446,77.11331747358888,28.7503673,77.1133259
2962,28.750372_77.113318,6.82,0.95,28.750371725903143,77.11331757749888,28.7503673,77.1133259
2963,28.750372_77.113318,6.82,0.94,28.750371697868708,77.11331763021504,28.7503673,77.1133259
2964,28.750372_77.113318,6.82,0.93,28.75037161429287,77.11331778737167,28.7503673,77.1133259
2965,28.750372_77.113318,6.82,0.93,28.75037154113534,77.11331783689688,28.7503672,77.113326
2966,28.750372_77.113318,6.82,0.93,28.750371536495734,77.11331784562122,28.7503672,77.113326
2967,28.750372_77.113318,6.82,0.93,28.75037155078056,77.11331781875994,28.7503672,77.113326
2969,28.750372_77.113318,6.82,0.96,28.750371655559945,77.11331762173201,28.7503672,77.113326
2970,28.750372_77.113318,6.82,0.96,28.750371666171212,77.1133176017785,28.7503672,77.113326
2971,28.750372_77.113318,6.82,0.94,28.750371587149008,77.11331775037245,28.7503672,77.113326
2972,28.750371_77.113317,6.83,0.93,28.750371168237287,77.11331732138585,28.7503668,77.1133255
2973,28.750371_77.113317,6.83,0.92,28.750371102149426,77.11331744512161,28.7503668,77.1133255
2974,28.750371_77.113318,6.83,0.89,28.750370976423934,77.1133176805164,28.7503668,77.1133255
2975,28.750371_77.113318,6.83,0.89,28.750370942601826,77.11331774384124,28.7503668,77.1133255
2976,28.750371_77.113318,6.83,0.87,28.750370843183457,77.11331792998142,28.7503668,77.1133255
2977,28.750371_77.113318,6.83,0.86,28.750370802146126,77.11331800681528,28.7503668,77.1133255
2978,28.750371_77.113318,6.83,0.86,28.75037079730042,77.11331801588786,28.7503668,77.1133255
2979,28.750371_77.113318,6.83,0.86,28.750370801978317,77.11331800712946,28.7503668,77.1133255
2980,28.750370_77.113317,6.84,0.87,28.750369758770255,77.1133171157027,28.7503657,77.1133247
2981,28.750370_77.113317,6.84,0.85,28.75036969652155,77.11331723202184,28.7503657,77.1133247
2982,28.750370_77.113317,6.84,0.85,28.750369700707104,77.11331722420063,28.7503657,77.1133247
2983,28.750370_77.113317,6.84,0.84,28.750369612034692,77.11331738989563,28.7503657,77.1133247
2984,28.750370_77.113317,6.84,0.83,28.75036960738592,77.11331739858241,28.7503657,77.1133247
2985,28.750370_77.113317,6.84,0.83,28.750369562774146,77.11331748194485,28.7503657,77.1133247
2986,28.750370_77.113318,6.84,0.82,28.75036954752258,77.11331751044422,28.7503657,77.1133247
2987,28.750368_77.113317,6.84,0.81,28.75036786932608,77.11331658976155,28.7503641,77.1133237
2989,28.750368_77.113317,6.84,0.82,28.750367914718886,77.1133165041352,28.7503641,77.1133237
2991,28.750368_77.113317,6.84,0.82,28.75036789291439,77.11331654526593,28.7503641,77.1133237
2992,28.750368_77.113316,6.84,0.84,28.75036798663334,77.11331636847994,28.7503641,77.1133237
2993,28.750368_77.113316,6.84,0.84,28.750368026718874,77.11331629286491,28.7503641,77.1133237
3023,28.750362_77.113307,6.83,1.51,28.750361945931253,77.11330660277977,28.7503549,77.1133198
3029,28.750360_77.113304,6.85,1.73,28.750360072865618,77.11330355551392,28.750352,77.1133187
3213,28.750267_77.113283,6.87,1.84,28.750267308284197,77.11328259514448,28.750277,77.1132979
3243,28.750267_77.113282,6.87,1.62,28.75026714908635,77.11328243132704,28.7502756,77.113296
3273,28.750267_77.113282,6.83,1.64,28.750267333630855,77.11328182557878,28.7502757,77.1132957
3303,28.750267_77.113282,6.84,1.65,28.7502674687983,77.11328238059036,28.7502759,77.1132963
3603,28.750270_77.113280,6.91,1.84,28.750270413660875,77.11327964714364,28.7502799,77.1132951
3633,28.750279_77.113274,6.9,1.94,28.750279411340294,77.11327354754195,28.7502849,77.1132924
4203,28.750413_77.113198,6.85,1.13,28.75041346693125,77.11319755738398,28.7504092,77.1132081
4653,28.750393_77.113083,6.85,1.35,28.75039291190031,77.11308290024793,28.7503886,77.1130958
4983,28.750402_77.113074,6.85,2.42,28.7504019018953,77.11307392122035,28.7503943,77.1130971
5853,28.750532_77.112925,6.97,1.42,28.750531613684785,77.11292488129496,28.7505235,77.1129361
5913,28.750533_77.112918,6.89,1.48,28.750532935632407,77.11291770042311,28.7505269,77.1129312
5943,28.750532_77.112915,6.88,1.66,28.750532238103542,77.11291487168282,28.7505252,77.1129299
5973,28.750532_77.112914,6.84,1.48,28.750532331390758,77.11291421564887,28.7505261,77.1129276
6003,28.750535_77.112908,6.86,1.61,28.750535023497804,77.1129084423175,28.7505283,77.112923
6063,28.750535_77.112908,6.89,0.88,28.750534852627773,77.11290803263647,28.7505313,77.1129161
6183,28.750533_77.112911,6.89,1.06,28.750533329573884,77.11291061627296,28.750529,77.1129203
6213,28.750530_77.112918,6.91,0.09,28.750529550011223,77.11291750241443,28.7505292,77.1129183
6243,28.750530_77.112911,6.96,1.68,28.75052976223235,77.11291123173429,28.7505229,77.1129266
6273,28.750527_77.112923,7.07,1.81,28.750526565524382,77.11292262314807,28.7505191,77.1129391
6967,28.750539_77.112946,6.88,2.32,28.750538503725252,77.11294625797908,28.7505544,77.1129617
6967,28.750538_77.112946,6.88,2.42,28.750537855106476,77.11294562789531,28.7505544,77.1129617
7040,28.750530_77.112952,6.9,3.22,28.75053016353833,77.11295187117645,28.750559,77.1129542
7050,28.750529_77.112953,6.9,3.29,28.75052943313341,77.11295266858701,28.750559,77.1129542
7051,28.750529_77.112953,6.9,3.31,28.750529338889915,77.11295266370568,28.750559,77.1129542
6972,28.750538_77.112945,6.86,2.37,28.750538327824838,77.11294537507918,28.7505553,77.11296
6970,28.750538_77.112946,6.88,2.33,28.750538441465803,77.11294619749877,28.7505544,77.1129617
7420,28.750529_77.112965,8.49,2.95,28.75052889979237,77.11296540283546,28.7505454,77.1129417
7450,28.750530_77.112969,8.53,2.86,28.750530118842708,77.1129691331099,28.7505434,77.1129441
7600,28.750532_77.112976,8.49,1.73,28.75053166801279,77.11297596775965,28.7505396,77.1129607
7630,28.750532_77.112978,8.49,1.9,28.750531787056598,77.11297762425417,28.7505406,77.112961
7660,28.750530_77.112982,8.48,2.72,28.750529551178396,77.11298247145578,28.750542,77.1129585
7870,28.750533_77.112981,8.5,1.6,28.750532871785207,77.11298126757059,28.7505403,77.1129672
8590,28.750395_77.113301,8.51,2.66,28.750395097014,77.11330091780675,28.7504074,77.1132776
8620,28.750391_77.113307,8.52,1.91,28.7503908057357,77.11330725051472,28.7504,77.1132907
8680,28.750381_77.113306,8.48,0.55,28.750381111768892,77.11330585927604,28.7503837,77.113301
10870,28.750361_77.113342,8.58,2.78,28.750360589938794,77.11334190487723,28.7503788,77.1133224
10900,28.750387_77.113298,8.4,2.32,28.750387328474265,77.11329842783026,28.7504024,77.113282
10900,28.750381_77.113305,8.4,3.28,28.750381124433375,77.11330519018016,28.7504024,77.113282
